Year,AdminISO,AdminName,Population,Cases,Incidence
1928,AK,ALASKA,,,
1928,AL,ALABAMA,2640.000,8843,334.962
1928,AR,ARKANSAS,1847.000,8899,481.808
1928,AZ,ARIZONA,422.000,847,200.711
1928,CA,CALIFORNIA,5344.000,3698,69.190
1928,CO,COLORADO,1014.000,2098,206.953
1928,CT,CONNECTICUT,1577.000,10013,634.971
1928,DC,DISTRICT OF COLUMBIA,479.000,2566,535.595
1928,DE,DELAWARE,233.000,597,256.009
1928,FL,FLORIDA,1433.000,1713,119.574
1928,GA,GEORGIA,2903.000,4637,159.714
1928,HI,HAWAII,,,
1928,IA,IOWA,2450.000,702,28.653
1928,ID,IDAHO,449.000,88,19.599
1928,IL,ILLINOIS,7576.000,7444,98.251
1928,IN,INDIANA,3212.000,8469,263.683
1928,KS,KANSAS,1850.000,2533,136.919
1928,KY,KENTUCKY,2567.000,5551,216.245
1928,LA,LOUISIANA,2064.000,5372,260.296
1928,MA,MASSACHUSETTS,4217.000,41371,981.053
1928,MD,MARYLAND,1610.000,17538,1089.348
1928,ME,MAINE,797.000,3204,401.945
1928,MI,MICHIGAN,4665.000,25544,547.567
1928,MN,MINNESOTA,2592.000,2052,79.167
1928,MO,MISSOURI,3601.000,7154,198.667
1928,MS,MISSISSIPPI,1981.000,0,0.000
1928,MT,MONTANA,541.000,757,139.926
1928,NC,NORTH CAROLINA,3082.000,56207,1823.718
1928,ND,NORTH DAKOTA,665.000,371,55.789
1928,NE,NEBRASKA,1371.000,1083,78.957
1928,NH,NEW HAMPSHIRE,468.000,1273,272.115
1928,NJ,NEW JERSEY,3968.000,31631,797.152
1928,NM,NEW MEXICO,416.000,2760,663.462
1928,NV,NEVADA,89.000,,
1928,NY,NEW YORK,11599.000,75390,649.974
1928,OH,OHIO,6608.000,23521,355.955
1928,OK,OKLAHOMA,2344.000,6298,268.686
1928,OR,OREGON,936.000,2089,223.130
1928,PA,PENNSYLVANIA,9802.000,57237,583.932
1928,RI,RHODE ISLAND,678.000,4986,735.324
1928,SC,SOUTH CAROLINA,1739.000,19798,1138.470
1928,SD,SOUTH DAKOTA,685.000,1097,160.146
1928,TN,TENNESSEE,2624.000,8276,315.396
1928,TX,TEXAS,5675.000,5524,97.339
1928,UT,UTAH,504.000,85,16.766
1928,VA,VIRGINIA,2435.000,8152,334.777
1928,VT,VERMONT,358.000,,
1928,WA,WASHINGTON,1551.000,5348,344.810
1928,WI,WISCONSIN,2923.000,3641,124.581
1928,WV,WEST VIRGINIA,1696.000,3323,195.932
1928,WY,WYOMING,220.000,499,227.045
1929,AK,ALASKA,,,
1929,AL,ALABAMA,2644.000,2959,111.914
1929,AR,ARKANSAS,1852.000,1245,67.225
1929,AZ,ARIZONA,430.000,236,54.884
1929,CA,CALIFORNIA,5531.000,4024,72.754
1929,CO,COLORADO,1008.000,748,74.206
1929,CT,CONNECTICUT,1594.000,9800,614.806
1929,DC,DISTRICT OF COLUMBIA,483.000,455,94.203
1929,DE,DELAWARE,236.000,566,239.831
1929,FL,FLORIDA,1445.000,1127,77.993
1929,GA,GEORGIA,2903.000,1180,40.648
1929,HI,HAWAII,,,
1929,IA,IOWA,2460.000,2041,82.967
1929,ID,IDAHO,447.000,717,160.403
1929,IL,ILLINOIS,7606.000,38503,506.219
1929,IN,INDIANA,3226.000,10391,322.102
1929,KS,KANSAS,1867.000,10370,555.437
1929,KY,KENTUCKY,2606.000,1125,43.170
1929,LA,LOUISIANA,2086.000,1853,88.830
1929,MA,MASSACHUSETTS,4229.000,14861,351.407
1929,MD,MARYLAND,1621.000,2043,126.033
1929,ME,MAINE,797.000,5732,719.197
1929,MI,MICHIGAN,4795.000,18052,376.475
1929,MN,MINNESOTA,2572.000,12663,492.341
1929,MO,MISSOURI,3622.000,6644,183.435
1929,MS,MISSISSIPPI,1998.000,,
1929,MT,MONTANA,524.000,4285,817.748
1929,NC,NORTH CAROLINA,3133.000,1207,38.525
1929,ND,NORTH DAKOTA,674.000,2286,339.169
1929,NE,NEBRASKA,1375.000,4166,302.982
1929,NH,NEW HAMPSHIRE,467.000,1609,344.540
1929,NJ,NEW JERSEY,3989.000,7253,181.825
1929,NM,NEW MEXICO,420.000,230,54.762
1929,NV,NEVADA,90.000,,
1929,NY,NEW YORK,12171.000,30318,249.100
1929,OH,OHIO,6626.000,37181,561.138
1929,OK,OKLAHOMA,2372.000,1095,46.164
1929,OR,OREGON,947.000,4662,492.291
1929,PA,PENNSYLVANIA,9723.000,47605,489.612
1929,RI,RHODE ISLAND,684.000,1851,270.614
1929,SC,SOUTH CAROLINA,1739.000,211,12.133
1929,SD,SOUTH DAKOTA,690.000,1158,167.826
1929,TN,TENNESSEE,2604.000,860,33.026
1929,TX,TEXAS,5762.000,4107,71.277
1929,UT,UTAH,508.000,350,68.898
1929,VA,VIRGINIA,2425.000,2553,105.292
1929,VT,VERMONT,359.000,,
1929,WA,WASHINGTON,1555.000,3866,248.617
1929,WI,WISCONSIN,2934.000,29825,1016.530
1929,WV,WEST VIRGINIA,1717.000,6527,380.140
1929,WY,WYOMING,223.000,696,312.108
1930,AK,ALASKA,,,
1930,AL,ALABAMA,2647.000,4156,157.008
1930,AR,ARKANSAS,1859.000,994,53.470
1930,AZ,ARIZONA,434.000,2024,466.359
1930,CA,CALIFORNIA,5711.000,43416,760.217
1930,CO,COLORADO,1040.000,11781,1132.788
1930,CT,CONNECTICUT,1613.000,1810,112.213
1930,DC,DISTRICT OF COLUMBIA,488.000,889,182.172
1930,DE,DELAWARE,239.000,261,109.205
1930,FL,FLORIDA,1471.000,5245,356.560
1930,GA,GEORGIA,2910.000,4459,153.230
1930,HI,HAWAII,,,
1930,IA,IOWA,2475.000,9791,395.596
1930,ID,IDAHO,447.000,879,196.644
1930,IL,ILLINOIS,7644.000,16517,216.078
1930,IN,INDIANA,3242.000,3915,120.759
1930,KS,KANSAS,1883.000,12555,666.755
1930,KY,KENTUCKY,2623.000,1841,70.187
1930,LA,LOUISIANA,2105.000,1816,86.271
1930,MA,MASSACHUSETTS,4250.000,26787,630.282
1930,MD,MARYLAND,1636.000,1209,73.900
1930,ME,MAINE,800.000,1591,198.875
1930,MI,MICHIGAN,4834.000,28213,583.637
1930,MN,MINNESOTA,2576.000,5641,218.983
1930,MO,MISSOURI,3646.000,5462,149.808
1930,MS,MISSISSIPPI,2006.000,,
1930,MT,MONTANA,539.000,633,117.440
1930,NC,NORTH CAROLINA,3167.000,1304,41.175
1930,ND,NORTH DAKOTA,682.000,798,117.009
1930,NE,NEBRASKA,1380.000,10286,745.362
1930,NH,NEW HAMPSHIRE,466.000,589,126.395
1930,NJ,NEW JERSEY,4068.000,24525,602.876
1930,NM,NEW MEXICO,427.000,2260,529.274
1930,NV,NEVADA,92.000,,
1930,NY,NEW YORK,12647.000,39887,315.387
1930,OH,OHIO,6662.000,18488,277.514
1930,OK,OKLAHOMA,2401.000,3960,164.931
1930,OR,OREGON,956.000,2642,276.360
1930,PA,PENNSYLVANIA,9649.000,34404,356.555
1930,RI,RHODE ISLAND,686.000,269,39.213
1930,SC,SOUTH CAROLINA,1745.000,252,14.441
1930,SD,SOUTH DAKOTA,693.000,2400,346.320
1930,TN,TENNESSEE,2619.000,4712,179.916
1930,TX,TEXAS,5844.000,4275,73.152
1930,UT,UTAH,509.000,5318,1044.794
1930,VA,VIRGINIA,2427.000,5744,236.667
1930,VT,VERMONT,360.000,,
1930,WA,WASHINGTON,1568.000,9904,631.633
1930,WI,WISCONSIN,2950.000,22082,748.542
1930,WV,WEST VIRGINIA,1733.000,2733,157.703
1930,WY,WYOMING,226.000,772,341.593
1931,AK,ALASKA,,,
1931,AL,ALABAMA,2649.000,8934,337.259
1931,AR,ARKANSAS,1848.000,849,45.942
1931,AZ,ARIZONA,429.000,2135,497.669
1931,CA,CALIFORNIA,5824.000,27807,477.455
1931,CO,COLORADO,1056.000,4787,453.314
1931,CT,CONNECTICUT,1628.000,12869,790.479
1931,DC,DISTRICT OF COLUMBIA,504.000,4198,832.937
1931,DE,DELAWARE,242.000,2428,1003.306
1931,FL,FLORIDA,1493.000,3894,260.817
1931,GA,GEORGIA,2924.000,3053,104.412
1931,HI,HAWAII,,,
1931,IA,IOWA,2482.000,851,34.287
1931,ID,IDAHO,454.000,118,25.991
1931,IL,ILLINOIS,7687.000,39738,516.951
1931,IN,INDIANA,3257.000,17628,541.234
1931,KS,KANSAS,1881.000,1758,93.461
1931,KY,KENTUCKY,2652.000,4801,181.033
1931,LA,LOUISIANA,2124.000,244,11.488
1931,MA,MASSACHUSETTS,4248.000,16431,386.794
1931,MD,MARYLAND,1657.000,20959,1264.876
1931,ME,MAINE,807.000,3505,434.325
1931,MI,MICHIGAN,4798.000,6403,133.451
1931,MN,MINNESOTA,2614.000,3229,123.527
1931,MO,MISSOURI,3711.000,13723,369.793
1931,MS,MISSISSIPPI,1994.000,,
1931,MT,MONTANA,540.000,1538,284.815
1931,NC,NORTH CAROLINA,3184.000,15299,480.496
1931,ND,NORTH DAKOTA,680.000,966,142.059
1931,NE,NEBRASKA,1384.000,345,24.928
1931,NH,NEW HAMPSHIRE,470.000,1406,299.149
1931,NJ,NEW JERSEY,4120.000,20361,494.199
1931,NM,NEW MEXICO,436.000,1415,324.541
1931,NV,NEVADA,94.000,,
1931,NY,NEW YORK,12848.000,54376,423.225
1931,OH,OHIO,6694.000,19500,291.306
1931,OK,OKLAHOMA,2403.000,774,32.210
1931,OR,OREGON,966.000,2343,242.547
1931,PA,PENNSYLVANIA,9707.000,79748,821.551
1931,RI,RHODE ISLAND,681.000,4529,665.051
1931,SC,SOUTH CAROLINA,1753.000,3330,189.960
1931,SD,SOUTH DAKOTA,694.000,1474,212.392
1931,TN,TENNESSEE,2657.000,3581,134.776
1931,TX,TEXAS,5907.000,2336,39.546
1931,UT,UTAH,513.000,153,29.825
1931,VA,VIRGINIA,2445.000,7784,318.384
